"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","qind_cv","pglobal_cv","qglobal_cv","Extreme"
"TP53",11,193,61,20,39,18.6045358924211,59.3587158000648,59.3587158000648,256.361397630751,0,0,0,1.01244544401712e-48,0,0,0,1.9455151652233e-44,0,0,TRUE
"KEAP1",1,82,5,3,11,40.0266333625906,43.9751455189856,43.9751455189856,65.9512047230122,0,1.60482191979838e-08,0,7.51256845151737e-13,0,2.80347800098597e-05,0,4.81205051214526e-09,0,0,TRUE
"KRAS",0,162,1,0,0,212.438565478968,8.95582252845453,8.95582252845453,0,0,0.138659457447646,0,1,0,0.830632506380491,0,1,0,0,TRUE
"STK11",3,23,18,0,20,10.6708962765907,71.575265924097,71.575265924097,201.238591804813,2.68205012643463e-08,0,0,4.66278507219283e-28,0.000103076550459136,0,0,4.48000389736287e-24,0,0,TRUE
"RBM10",1,9,20,6,8,2.33147545203829,45.7013513480339,45.7013513480339,25.9544042968172,0.202971649807666,0,0,2.41531947593946e-07,0.723928177687259,0,0,0.000515697544996141,0,0,TRUE
"CMTR2",0,14,17,0,5,6.4686505805412,85.8819541026542,85.8819541026542,13.3745743120622,0.00577399390873923,1.77635683940025e-15,6.32827124036339e-15,0.000303470565926041,0.425361289502736,8.5336182564788e-12,2.02673433591372e-11,0.364468149677175,1.11022302462516e-16,3.55567427353283e-13,TRUE
"RB1",1,10,10,5,10,3.17061100079766,25.0399560405542,25.0399560405542,34.2666577153806,0.0711386527174633,1.86337456575814e-09,4.85233775382454e-09,1.97688278870408e-09,0.711589773086314,3.58066056556083e-06,7.17250171365326e-06,6.33129661128958e-06,3.33066907387547e-16,9.14316241765586e-13,TRUE
"NF1",6,32,14,10,15,2.01677471497095,10.3449016875055,10.3449016875055,17.345217998077,0.0641190548634303,4.81274464725345e-10,7.13378356387295e-10,1.88974280670774e-08,0.711589773086314,1.02757445712914e-06,1.14235654136152e-06,5.14397427600957e-05,5.55111512312578e-16,1.33337785257481e-12,FALSE
"CDKN2A.p16INK4a",2,23,4,1,8,9.4617805473197,25.9630958177886,25.9630958177886,59.3480020722878,9.18238402647376e-07,1.78400857754335e-05,7.43398905767023e-08,5.53977414841885e-10,0.002205608643159,0.0106828198207933,9.52343558214608e-05,2.12904600072033e-06,1.55431223447522e-15,3.31862932196398e-12,FALSE
"EGFR",6,63,1,0,15,4.81109970853177,0.534592134262512,0.534592134262512,23.6920293620255,7.58503129971722e-07,0.524368348292994,1.71293799033911e-07,5.10776007759395e-10,0.00208219944936237,0.830632506380491,0.000205723852639728,2.12904600072033e-06,3.33066907387547e-15,6.4002136923591e-12,FALSE
"SETD2",1,22,17,2,11,4.02055107725286,26.4092378982361,26.4092378982361,14.7088118523263,0.0125198287667542,5.87248027983378e-11,1.26179511283908e-10,1.21091073395379e-06,0.526037844308698,1.6120797293898e-07,2.42466548883158e-07,0.0023268860663656,5.6621374255883e-15,9.8912393427368e-12,FALSE
"ARID1A",4,13,17,2,5,1.3297097835889,20.680797453241,20.680797453241,7.71866239559967,0.568089610099047,1.96331839674713e-12,1.16573417585641e-13,0.00280167566898865,0.869421869112602,6.28785438531546e-09,3.20010684617955e-10,1,1.19904086659517e-14,1.92006410770773e-11,FALSE
"SMARCA4",3,27,15,6,4,3.83097719430271,22.472629083161,22.472629083161,7.36777228138508,0.00225439302524577,5.72764058404118e-13,4.05009359383257e-12,0.00654217409555771,0.352775233538458,2.20124682925871e-09,9.72832481238584e-09,1,8.54871728961371e-13,1.26363193413244e-09,FALSE
"C9orf64",2,1,10,0,0,0.504164383321324,42.943265304835,42.943265304835,0,0.52207192879228,1.93811633408814e-10,6.70200561714296e-11,1,0.852546327489301,4.6553554344797e-07,1.4309526659891e-07,1,1.63703384181701e-09,2.24694587888255e-06,FALSE
"BRAF",1,50,2,1,1,15.7281485833803,5.79968745044138,5.79968745044138,3.60657052633247,8.2415851920814e-11,0.0468982401870315,4.82876405527577e-10,0.232609749419116,3.95925752627591e-07,0.830632506380491,8.43541182601629e-07,1,2.68557431848393e-09,3.31054613356141e-06,FALSE
"MGA",7,19,16,0,8,0.963770418562773,6.81335578046015,6.81335578046015,8.78757321077146,0.928867271655134,3.54011493497453e-06,4.35308446511407e-07,0.000265143288945383,0.986625952147533,0.00309212948138502,0.00046471595045351,0.351677928164328,2.7564913684941e-09,3.31054613356141e-06,FALSE
"B2M",1,5,5,0,2,9.14329627734258,58.201753986605,58.201753986605,49.6170565552951,0.00329794126006722,6.72830776426991e-07,7.44377416261877e-07,0.00104537730952022,0.402346949973799,0.000808069762488817,0.000715197821544411,0.669935286965794,1.70992576764561e-08,1.93281962065165e-05,FALSE
